Super Bowl,Coin Toss Outcome,Coin Toss Winner,Game Winner
1,Heads,Home Team,Home Team
2,Tails,Home Team,Away Team
3,Heads,Home Team,Home Team
4,Tails,Away Team,Home Team
5,Tails,Home Team,Away Team
6,Heads,Home Team,Away Team
7,Heads,Away Team,Away Team
8,Heads,Home Team,Home Team
9,Tails,Away Team,Away Team
10,Heads,Away Team,Home Team
11,Tails,Away Team,Away Team
12,Heads,Away Team,Away Team
13,Heads,Home Team,Away Team
14,Heads,Away Team,Home Team
15,Tails,Home Team,Away Team
16,Tails,Away Team,Away Team
17,Tails,Away Team,Home Team
18,Heads,Home Team,Home Team
19,Tails,Home Team,Home Team
20,Tails,Away Team,Away Team
21,Tails,Away Team,Home Team
22,Heads,Away Team,Away Team
23,Tails,Home Team,Home Team
24,Heads,Home Team,Away Team
25,Heads,Away Team,Home Team
26,Heads,Away Team,Away Team
27,Heads,Away Team,Home Team
28,Tails,Away Team,Away Team
29,Heads,Home Team,Home Team
30,Tails,Away Team,Away Team
31,Heads,Away Team,Home Team
32,Tails,Away Team,Home Team
33,Tails,Home Team,Away Team
34,Tails,Away Team,Away Team
35,Tails,Home Team,Away Team
36,Heads,Away Team,Home Team
37,Tails,Home Team,Home Team
38,Tails,Away Team,Home Team
39,Tails,Home Team,Away Team
40,Tails,Away Team,Home Team
41,Heads,Home Team,Away Team
42,Tails,Away Team,Away Team
43,Heads,Home Team,Away Team
44,Heads,Away Team,Away Team
45,Heads,Home Team,Home Team
46,Heads,Home Team,Away Team
47,Heads,Away Team,Away Team
48,Tails,Away Team,Away Team
49,Tails,Home Team,Away Team
50,Tails,Away Team,Home Team
51,Tails,Home Team,Away Team
52,Heads,Home Team,Away Team
53,Tails,Home Team,Away Team
54,Tails,Away Team,Home Team
55,Heads,Away Team,Home Team
